Data ,Label
"कृषि प्राथमिकतामै परेनन्",0

"सबैभन्दा नराम्रो किनमेल अनुभव, मैले गरेको छु",0
"मैले गरेको छु",2
"सबैभन्दा नराम्रो किनमेल अनुभव",0

"पुरै ठग्ने काम गर्छ, अडर कुनै चिजको र डेलिभरी अरु नै गर्दो रहेछ मेरो रू १८००० ठगो",0
"पुरै ठग्ने काम गर्छ",0
"अडर कुनै चिजको र डेलिभरी अरु नै गर्दो रहेछ मेरो रू १८००० ठगो",0

"दुब्लीकेट सामान हो यो",0
"दुब्लीकेट सामान",0

"यो उत्पादन बाट आज  सम्म निराश छैन",1
"आज  सम्म निराश छैन",1

"सुमार्गीको जग्गा कब्जाको दाबी",0
"जग्गा कब्जाको दाबी",0

"रक्षा परिषद्सम्बन्धी विधेयक हुबहु पास हुन नदिने",0
"विधेयक हुबहु पास हुन नदिने",0

"कांग्रेस नेता सिटौला ह्याम्स अस्पतालको आईसीयूमा",2
"अस्पतालको आईसीयूमा",2
"कांग्रेस नेता सिटौला",2

"नेपाली विद्यार्थीको विदेश पीडा",0
"विद्यार्थीको विदेश पीडा",0
"विदेश पीडा",0
"पीडा",0

"Fake news just clickbait.",2
"Fake news",2

"छ्या कस्तो नराम्रो",0
"छ्या",0
"कस्तो नराम्रो",0

"म तपाईँलाई घृणा गर्छु।",0
"घृणा गर्छु",0
"घृणा",0

"delli le aja ko game ma ne sandip lai kelayenw",2
"kelayenw",0

" सबैलाई थाहा छ कि तपाईले आफ्नो चार्जर फिर्ता लिनु भएको छ",2
"तपाईले आफ्नो चार्जर फिर्ता लिनु भएको छ",2
"फिर्ता लिनु भएको छ",2

Yo saman kineko dwee din ma bigreyo,0
"kineko dwee din ma bigreyo",0

"किनिएको समानहरुमा निकै नै खराबी देखियो र निकै चाडै बिग्रियो",0
"किनिएको समानहरुमा निकै नै खराबी देखियो",0
"िकै चाडै बिग्रियो",0

"देलिवर गर्न अलि ढिलो भयो।",0
"अलि ढिलो भयो।",0
"देलिवर",0

"सब्जीको मूल्य उच्च हो",2
"मूल्य उच्च हो",2

"म दुखि छु",0
"दुखि",0

"खेल खेल्दै मेरो आँखालाई चोट पुर्याउँछ",2
"आँखालाई चोट पुर्याउँछ",0
"चोट पुर्याउँछ",0
"चोट",0

"ई मीडियाले समाजमा गलत असर गर्दैछ",0
"समाजमा गलत असर गर्दैछ",0
"असर गर्दैछ",0

"Dhulo uthauna stop  gareu vane ma Lastai risauxu hai gaizz",0
"Dhulo uthauna stop  gareu vane",2

"यो समान किनेनौ भने म लस्तै रिसौछुनि",0
"यो समान किनेनौ भने",2

"यो पेज खोल्ने मान्छे देखेर लास्टै रिसाउछु  म",0
"यो पेज खोल्ने मान्छे",0

"काठमान्डौ पुरै उठुन्जेल नि सकिन्न धुलो पिच कहाँ छ र धुलो सकिन जति उठायो उति आउछ",0
"धुलो सकिन जति उठायो उति आउछ",0
"काठमान्डौ पुरै उठुन्जेल नि सकिन्न धुलो पिच कहाँ छ",0
"काठमान्डौ पुरै उठुन्जेल नि सकिन्न",0

"नेपाली धुलो चाहे broomer ले सफा गरोस्कि पानी हालेर cleaner लार गरोस् सफा हुन्न",0
"सफा हुन्न",0
"नेपाली धुलो चाहे broomer ले सफा गरोस्कि पानी हालेर cleaner लार",2

"येहा बाटो नै थर्ड क्लासको हुछ",0
"र्ड क्लासको हुछ",0

"पिहिले राम्रो बाटो निर्माण गर्नु अनि प्राविधि उपयोग गर्दा राम्रो",1
"पिहिले राम्रो बाटो निर्माण गर्नु",1
"अनि प्राविधि उपयोग गर्दा राम्रो",1

"broomer चलाएर हुन्छ खुरु खुरु बाटो गतिलो बनाउनु नि",0
"broomer चलाएर हुन्छ",0
"खुरु खुरु बाटो गतिलो बनाउनु नि",0

"Road सफा गर्ने ब्रोमरको मात्र काम छैन",0
"Road सफा गर्ने",0
"ब्रोमरको मात्र काम छैन",0

"दराजमा डिग्री पिएच डी काे सर्टिफिकेट छ तर व्यबहारमा राक्षस छ",0
"व्यबहारमा राक्षस छ",0
"दराजमा डिग्री पिएच डी काे सर्टिफिकेट छ",1

"म ट्युसन क्लास पढेर म्याजिकमा घर फर्कदै थिए",2
"म्याजिकमा घर फर्कदै थिए",2
"म ट्युसन क्लास पढेर",2

"मलाई झिझाे लाग्यो उहाँ बाेलेकाे देख्दा",0
"उहाँ बाेलेकाे देख्दा",2
"मलाई झिझाे लाग्यो",1

"छाेराहरु चिल्ला गाडी चढ्न थाले बजारमा ठुला ठुला महल थप्दै गए, तर संसार देखाईदिने र सम्पत्ति जाेडिदिने अामा अाज वृद्ध अाश्रममा मृयुलाई पर्खिरहेकी छन्",0
"छाेराहरु चिल्ला गाडी चढ्न थाले",1
"बजारमा ठुला ठुला महल थप्दै गए",1
"संसार देखाईदिने र सम्पत्ति जाेडिदिने अामा अाज वृद्ध अाश्रममा मृयुलाई पर्खिरहेकी छन्",0
"वृद्ध अाश्रममा मृयुलाई पर्खिरहेकी छन्",0

"लौन यो हाम्रो बेसिसहर देखो -चामे मनाङ सम्म एउटा पानी हाल्ने ट्याङकर मिलाउन पर्यो है",2
"एउटा पानी हाल्ने ट्याङकर मिलाउन पर्यो है",2

"yo broomers बौद्ध जोरपाटी आएन भने म लास्ट रिसाउछु है गाइज",0

"जस्तो पोस्टमा पनि मजाक यार सब का सब पागल को दर्जा दिन लायक छन",0
"सब का सब पागल को दर्जा दिन लायक छन",0
"जस्तो पोस्टमा पनि मजाक यार",0

"राडाबानहरु देश लुटेर रित्तिन लागिसक्यो तिनिहरुलाई केही गर्न सक्दैन  पैसा कमाएर आफ्नो परिवार पाल्छु भन्नेलाई गरिखान दिदैन्,0
थुक्क लाजनभएको कुलङ्घार सरकार",0
"राडाबानहरु देश लुटेर रित्तिन लागिसक्यो",0
"तिनिहरुलाई केही गर्न सक्दैन  पैसा कमाएर आफ्नो परिवार पाल्छु भन्नेलाई गरिखान दिदैन्",0

"रखार तेसैले अब यो पानीपुरिको भाडो जस्ले उठायेको थियो त्यो अपराधिलाई तेहि पानीपुरी को झोल ले आची गर्न लगाएर चाक धुन लगाउनु पर्छ",0
"त्यो अपराधिलाई तेहि पानीपुरी को झोल ले आची गर्न लगाएर चाक धुन लगाउनु पर्छ",0
"यो पानीपुरिको भाडो जस्ले उठायेको थियो",2

"धिकार छ नेपाल कसरी बनोस देश",0
"नेपाल कसरी बनोस देश",0

"SLC सकिने बित्तिकै उसले भागौ भन्दा भागेको भय अहिले अस्ट्रेलिया पुगिसकिन्थ्यो होला भाग्न अल्छी गरियो अहिले जिन्दगिले खेद्दै छ",2
"SLC सकिने बित्तिकै उसले भागौ भन्दा भागेको भय अहिले अस्ट्रेलिया पुगिसकिन्थ्यो",2
"भाग्न अल्छी गरियो अहिले जिन्दगिले खेद्दै छ",0

"यस्मा हाहा React आएन भने म लास्तै रिसाउछु है",0

"नजिककाे तीर्थ लाई हेला गर्ने बानी नेपालीको कहिले गएन",2
"नजिककाे तीर्थ लाई हेला",0
"हेला गर्ने बानी नेपालीको कहिले गएन",0

"एउटा धोती ले दस जना नेपाली ठ्ग्छ भन्थे हजुरबा ले साच्चै रैछ क्या",0
"उटा धोती ले दस जना नेपाली ठ्ग्छ",0

"के तपाईं घर बनाउदै हुनुहुन्छ ?",2
"घर बनाउदै हुनुहुन्छ ?",2

"जिउदो नेपाली लाई ठ्ग्छ भन्थे हो रैछ",2

"यो लोकेन्द्र बाहादुर चन्दलाइ किन सुरक्षा चाहियो र देश भरि गरेर १०० जना कार्यकर्ता नहुने पाटिको नेतालाई कसले के गर्छ र ",2
"यो लोकेन्द्र बाहादुर चन्दलाइ किन सुरक्षा चाहियो",2
"देश भरि गरेर १०० जना कार्यकर्ता नहुने पाटिको नेतालाई कसले के गर्छ र",2

"यहाँ जिन्दगी नै धरापमा रैछ हाम्रो नेपालमा",0
"यहाँ जिन्दगी नै धरापमा रैछ",0

"असली मजा त तेति बेर लाग्छ जब बाटोमा हिन्दै गर्दा ex को बुनु ले भनोस दिदी त्यो हेर्नुस कति राम्रो दाइ",0
"बाटोमा हिन्दै गर्दा ex को बुनु ले भनोस दिदी त्यो हेर्नुस कति राम्रो दाइ",0
"त्यो हेर्नुस कति राम्रो दाइ",0

"लोकेन्द्र बहादुरलाई बेईजत गराउने कामगर्न खोजेजस्तो छन नि उनले",0
"लोकेन्द्र बहादुरलाई बेईजत गराउने",0

"१४ १५ बर्ष पहिलेका प्रम लाई अहिले सम्म सुरक्षा अनि तिनको सुरक्षाकर्मीको घमन्ड । देशको यो हाल देख्दा दया लाग्नि भैसक्यो ",2
"१४ १५ बर्ष पहिलेका प्रम लाई अहिले सम्म सुरक्षा अनि तिनको सुरक्षाकर्मीको घमन्ड ",0
"देशको यो हाल देख्दा दया लाग्नि भैसक्यो ",2

"आज देश र जनताको सुरक्षा दिने सरकारी कर्मचारी जनताको कर बाट परिवार पाल्ने ले अर्को नागरिक लाई लडाएर हिँड्यो रोकेर उपचार को लागी सहयोग सम्म गरेन",0
"लडाएर हिँड्यो रोकेर उपचार को लागी सहयोग सम्म गरेन",0
"उपचार को लागी सहयोग सम्म गरेन",0

"सर्बसाधरण जनतामाथि यस्तो ज्यादती गर्ने नकचरा नकचरीहरुलाई टँडिखेलमा राखेर कंचटमा हानेर कसैले त उँडाइदिए त टन्टै साफ यार",0
"सर्बसाधरण जनतामाथि यस्तो ज्यादती गर्ने नकचरा",0
"टँडिखेलमा राखेर कंचटमा हानेर कसैले त उँडाइदिए त टन्टै साफ यार",0

"आफ्नै बाउ को बिर्ता जतिकै गरेर बाटबाटो मान्छे ठोक्दै हिड्ने यी सरकारी भरौटे हरु ले के सम्झिन्छन् हौं मान्छे को शरीर लाई किरा फटयांग्रा जतिको पनि गन्दैन्न त",0
"आफ्नै बाउ को बिर्ता जतिकै गरेर बाटबाटो मान्छे ठोक्दै हिड्ने",0
"यी सरकारी भरौटे हरु ले के सम्झिन्छन्",0
"मान्छे को शरीर लाई किरा फटयांग्रा जतिको पनि गन्दैन्न त",0

"मुजि बर्दी लाए भन्दै मा मनपरी गर्दै हिड्ने",0
"मुजि बर्दी लाए भन्दै मा मनपरी",0

"f*ck",0
"f**k",0


"चि*ने",0

"चार जना साक्षी राखेर त्यो गाडी सहित ड्राइभरलाई जलाईदेउ बाकी हेरौला",0
"चार जना साक्षी राखेर त्यो गाडी सहित ड्राइभरलाई जलाईदेउ",0
"त्यो गाडी सहित ड्राइभरलाई जलाईदेउ",0

"येस्तै येस्तै कारण हो बिप्लब हरु को जन्म हुने येस्ता पातकी लाई ठाउँ को ठाउँ कार्वाही गर बिप्लव दाजै",0
"येस्तै येस्तै कारण हो बिप्लब हरु को जन्म हुने",0
"येस्ता पातकी लाई ठाउँ को ठाउँ कार्वाही गर बिप्लव दाजै",1

"साला खाते police हरु जन्ता लाई सुरक्षा दिने काम हो उल्टै जनता लाई कुल्चेर हिन्छन दानव हरु",0
"साला खाते police हरु",0
"जन्ता लाई सुरक्षा दिने काम हो",2
"उल्टै जनता लाई कुल्चेर हिन्छन दानव हरु",2

"कता गएछन विप्लवको टिम यस्तो कुकुर पुलिस फोर्सको गाडिमा किन बम पड्किदैन",0
"कता गएछन विप्लवको टिम",2
"यस्तो कुकुर पुलिस फोर्सको गाडिमा किन बम पड्किदैन",0
"गाडिमा किन बम पड्किदैन",0

"यस्ता भातमारा पुलिसले त जनतालाई हेप्छ अनि नेताहरुले यत्रो नहेपोस",0
"यस्ता भातमारा पुलिसले त जनतालाई हेप्छ",0
"पुलिसले त जनतालाई हेप्छ",0
"अनि नेताहरुले यत्रो नहेपोस",2

"या आयेर जति सुकै देशभक्ति देखाएपनी सरकारलाई घन्टा फराक पर्ने वाला छैन",0
"सरकारलाई घन्टा फराक पर्ने वाला छैन",0
"देशभक्ति",0

"तेसको बाउहरुले बनाईदेको बाटो होला तेही भएर तेसरी आखँइ नहेरी चलाको होला साला डन्ठेहरु",0
"तेसको बाउहरुले बनाईदेको बाटो होला",0
"तेही भएर तेसरी आखँइ नहेरी चलाको होला साला डन्ठेहरु",0

"थुईइक तिमीहरुको कुहिएको बुद्दी",0
"कुहिएको बुद्दी",0
"थुईइक",0

"बिल्गेट्स लाई राजेश दाई ले दान मा पैसा दिएर त्यो संसार को धनी मान्छे भएको भन्ने सुनेको थिए",2
"िल्गेट्स लाई राजेश दाई ले दान मा पैसा दिएर",2
"त्यो संसार को धनी मान्छे भएको भन्ने सुनेको थिए"",2

"बिचरा केपी लाई दाईले एकदिन गुट्खा खाने पैसा दिनु भएछ",0
"एकदिन गुट्खा खाने पैसा दिनु भएछ",2
"बिचरा केपी",2

"बर्सौ देखि भारत बाट आएर टिन फलाम सफा गर्नी को मतलव छैन गोराले गरेसी हाल्छ्स रुटिने",0
"बर्सौ देखि भारत बाट आएर टिन फलाम सफा गर्नी को मतलव छैन",0

"अरे रुटिने खोसे जस्तो देखियो है, अर्को फोटो राख यार",2
"अरे रुटिने खोसे जस्तो देखियो है",2
"अर्को फोटो राख यार",2

"बिदेशमा नेपाल को सरसफाइ को लागि भन्दै डोनेसन उठाएर यहा फोटो खिचेर घुम्छ्न जोले केहि बिदेशिहरु रुटिनेलाई यतिकै पोस्ट गर्ने हतार हुन्छ",0
"बिदेशमा नेपाल को सरसफाइ को लागि भन्दै डोनेसन उठाएर यहा फोटो खिचेर घुम्छ्न",0
"जोले केहि बिदेशिहरु",0
"रुटिनेलाई यतिकै पोस्ट गर्ने हतार हुन्छ",0

"विदेशी पनि कहाँको लाटो छ  फोटो खिच्यो रिपोर्ट पठायो अनि टन्न डलर पचायो",0
"विदेशी पनि कहाँको लाटो छ",0
"फोटो खिच्यो रिपोर्ट पठायो अनि टन्न डलर पचायो",0

"नेपाली हरु ले पनि त बिदेश मा गएर toilet सफा गर्छन नि रुटुने",0
"बिदेश मा गएर toilet सफा गर्छन नि",2

"एउटा बच्चो बनाउन नसक्नेले देश बनाउछु भनि लागेको छ साला",0
"देश बनाउछु भनि लागेको छ",1

"सबका सब रोगि अचेत सुड्डोहरु ओखतीमूलो को भरमा उभ्भिएका ल्याङ्ते बुडाहरु देस बनाउन लागेका छन",0
"सबका सब रोगि अचेत सुड्डोहरु",0
"ओखतीमूलो को भरमा उभ्भिएका ल्याङ्ते बुडाहरु",0
"देस बनाउन लागेका छन",1

"आज पाल्तु प्रहरीले दुई युवालाई रास्ट्रपती र प्रधानमन्त्रीको जोक बनाएको अभियोगमा पक्रिएको सुन्दै गर्दा गणतन्त्र त्यही दिन आउँछ जस्तो लाग्दैछ जुन दिन केपि वली मर्नेछ",0
"आज पाल्तु प्रहरीले दुई युवालाई रास्ट्रपती र प्रधानमन्त्रीको जोक बनाएको अभियोगमा पक्रिएको",1
"गणतन्त्र त्यही दिन आउँछ जस्तो लाग्दैछ जुन दिन केपि वली मर्नेछ",0
"गणतन्त्र त्यही दिन आउँछ जस्तो लाग्दैछ",2

"होस गर आफै बन्द होलास",0

"सरकार सक्छस भने बलत्कारिलाई समातेर देखा  बिचरा तीन लाई किन समातछस",1
"सरकार सक्छस भने बलत्कारिलाई समातेर देखा",1
"बिचरा तीन लाई किन समातछस",1

"झन्डै  गु झर्ने गरि हान्यो डन्ठे ले",0
"हान्यो डन्ठे ले",0

"गफ लगाउछस",0

"यो पनि ति नै काम चोर त हुन् नि",0
"काम चोर त हुन् नि",0

"जनताको मुख टाल्ने काम मात्र हो यो देखावोटि",0
"जनताको मुख टाल्ने काम मात्र हो",0
"यो देखावोटि",2

"बरु दुइ दिनको घुस देउन, दुइ दिनको तलब त थोरै भयो",0
"बरु दुइ दिनको घुस देउन",0
"दुइ दिनको तलब त थोरै भयो",2

"बरु २ प्लेट मम खानेहो तर पैसा दान नदिने हो",0
"बरु २ प्लेट मम खानेहो",2
"पैसा दान नदिने हो",0

"भुत्रोको सहयोग गर्नु",0

"के पी बाको र बिद्या देवीको जोडी राम्रो छैन",0
"जोडी राम्रो छैन",0

"देश को लुटेरा हरुको बिल्ला हानेको ठिक छ",0
"बिल्ला हानेको ठिक छ",0

"थुक्क मुजी आफुले जाबो फेसबूकमा बिल्ला भाको देख्न सक्दैनस",0
"फेसबूकमा बिल्ला भाको देख्न सक्दैनस",2

"विद्याको अगाडी हेरो हुन तेस्तो नाटक गरेको हो",0
"तेस्तो नाटक गरेको हो",2

"Muji j lai pani craze navantah",0

"Timi nisturi vayarani",0

"सबै स्वार्थ मै चलेको हुन्छन",0

"Dherai dukh lagyo",0

"यत्रो हुन्छ समृध्द राष्ट",0
"समृध्द राष्ट",1

"मोैलिक अधिकार माथि हनन हुन्छ",0

"जब सम्म नातावाद  कृपावाद  नेतावाद पुजिवाद इत्यादिको बिगबिगी हुन्छ तबसम्म न्याय क्षेत्रमा केही आशा नगरे हुन्छ",1
"न्याय क्षेत्रमा केही आशा नगरे हुन्छ",1

"सुसासनयुक्त अनि मर्यादित बनाउनु",1
"मर्यादित बनाउनु",1

"विडम्वना जे नहून पर्ने हो त्यो नै हून्छ यहा",2
"विडम्वना जे नहून पर्ने हो",0
"त्यो नै हून्छ यहा",2

"राजनितिक दवाव र नातावाद भष्टाचारी",0
"राजनितिक दवाव",0
"नातावाद भष्टाचारी",0

"Aafu bhanda Handsome bhayerw hola dekhdai rish uthch",0
"Aafu bhanda Handsome bhayerw hola",0
"hola dekhdai rish uthch",0

"नेपालमा न्याय नै पाउन निकै गाह्रो छ जस्तो लाग्छ",2
"नेपालमा न्याय नै पाउन निकै गाह्रो छ",0

"न्यायको विपरित हुने काम गरेकै देखिन्छ",0
"विपरित हुने काम गरेकै देखिन्छ",0

"Nepal ma kehi hunewala chhaina",0

"Nayalaya lai rajnaitik aguwa haru le sanchalan garnu hudaina ra aafna ra aafanta vana xodanu parx",1
"Nayalaya lai rajnaitik aguwa haru le sanchalan garnu hudaina",1
"aafna ra aafanta vana xodanu parxa",0

"झोले कार्यकर्ताहरु",0

"अरु कुरा सबै गफ हुन",2

"चाकडी, दलाली र भष्टाचारी",0

"बिचरा",2

"पिडितहरु अहिले गाँस बाँस कपास विहिन भएका छन्",0
"गाँस बाँस कपास विहिन भएका छन्",0

"यस्तो काम मन पर्दैन",0

"उनिहरुले तराईका रैथाने नेपालीलाई कहिल्यै राम्रो होस् भन्ने चाहदैन ",0
"कहिल्यै राम्रो होस् भन्ने चाहदैन",0

"नेपाली बीर गोर्खाली भन्ने त इतिहासमा पढ्न मात्र पाइन्छ देख्न त कहिल्यै पाइएन",0
"नेपाली बीर गोर्खाली भन्ने त इतिहासमा पढ्न मात्र पाइन्छ",0
"देख्न त कहिल्यै पाइएन",0

"यहाँ दलाल ठेकेदारहरुले देश चुसेर सकिसके",0
"देश चुसेर सकिसके",0

"This is disrespectful साला आकासले नि मेकअप गरेको छैन",0
"This is disrespectfu",0
"साला आकासले नि मेकअप गरेको छैन",0

"ब्रम्हाले हैन शिव संकरले गाजाको धुवा फालेर यो galaxy बनेको हो",2

"यस्तो जाडो दिनमा पनि के चटक हो",0
"के चटक हो",0

"के कति छेती भयो बिवरण पाउन",2
"बिवरण पाउन",2

"आजकालका केटाकेटी सहयोग त चाक तिरा हलेर हिडेका छन",0
"सहयोग त चाक तिरा हलेर हिडेका छन",0

"लुट्न सक्य लुट् कान्छ लुट्न सक्य लुट्",0
"लुट्न सक्य लुट्"

"हुर्केको दुई साथिले गेडा समाएर पैसा कमाए एउटा सन्दिपले अर्कि उनिले",0
"हुर्केको दुई साथिले गेडा समाएर पैसा कमाए",0
"एउटा सन्दिपले अर्कि उनिले",2

"म लास्ट रिसाउछु है गाइज",0

"Live हेर्दैछु भन्न पर्दैन जाठा",0

"धोबी पछाड खायो आज",2

"दरो चुट्यो मोराहरूले",0

"बादर झै लखेट्ने दिन हरु नजिकिदैछन जस्तो लाग्छ मलाई",0
"बादर झै लखेट्ने दिन हरु नजिकिदैछन",0

"राम्रो औरेजि जान्दोरछौ उद्योगमन्त्री यादव लाई पनि सिकादेउन लास्टै बेजत गरो अस्ति औरेजि बोलेर",0
"लास्टै बेजत गरो अस्ति औरेजि बोलेर",0

"Dear मर्न नसकेकी ex फोटो हाल्दा अलि edit गरेर हाल्ने गर",0
"Dear मर्न नसकेकी ex",0
"फोटो हाल्दा अलि edit गरेर हाल्ने गर",2

"यो समाजले accept गर्ला",2

"युद्ध त तिमी र म बिच थियो तर सहिद हाम्रो माया बन्न पुगेछ",2
"युद्ध त तिमी र म बिच थियो",2
"सहिद हाम्रो माया बन्न पुगेछ",2

"नेत्र विक्रम चन्द विप्लव नेतृत्वको नेपाल कम्युनिष्ट पार्टीद्वारा वैशाख ५ गते नेपाल बन्दको आह्वान",2
"वैशाख ५ गते नेपाल बन्दको आह्वान",0

"अंग्रेजिमा Foodmario नेपालीमा भातमारा",0
"नेपालीमा भातमारा",0

"थुक्क साला यस्ता धोती को birthday मा पिक हालेर wish गर्ने अस्ति मेरो जन्म दिन मा किन हालिनस",0
"थुक्क साला यस्ता धोती को birthday मा पिक हालेर wish गर्ने",0
"अस्ति मेरो जन्म दिन मा किन हालिनस",2

"म त नेपाली हुम यार नेपाली भन्दा धोती ठूलो तलाइ",0
"नेपाली भन्दा धोती ठूलो तलाइ",0

"Naam ni ramrari lekhna naaune le kna post halnu ho",2

"बर्थ डे विष भोलि दियेको भयेनी हुने रुटिने कि त बिहानै दिनु भुलिस क्या हो मुला येति बेला विष पो गर्छ",0
"बर्थ डे विष भोलि दियेको भयेनी हुने",0
"त बिहानै दिनु भुलिस क्या हो मुला येति बेला विष पो गर्छ",0

"याे गधाको अनुहार परेको घोडालाई पनि birthday wish गर्नु पर्ने हामीले थुक्क",0
"याे गधाको अनुहार परेको घोडालाई पनि birthday wish गर्नु",0

"आलु",2

"आफ्नो आमाको जन्मदिन थाहा नहुनी भुराहरुको नाटक",0
"भुराहरुको नाटक",0

"झल्लु",0

"chuchho manav",0

"xya",0
"hepdira k",0

"maile talai nachineko hora kasto xas",2

"aakha futaidinu parney ttero ta",0

"Sab modi vaiyaa ko khel",2

"यिनिहरुको भ्रष्टाचार",2

"धार्मिक अतिवाद विरुद्धको आक्रमण हो",0

"राष्ट्रको अहितमा काम गर्ने राष्ट्रघाती हरुलाई सिधै ठोक्ने बेला हो",0
"राष्ट्रको अहितमा काम गर्ने",0
"राष्ट्रघाती हरुलाई सिधै ठोक्ने बेला हो",0

"कुकुर लाई बिच रोडमा ल्यायेर मारनु प्रछ",0
"बिच रोडमा ल्यायेर मारनु प्रछ",0

"CHOR FATA",0

"Sala kutta goli thok hunxa",0

"Bhattarai Daka ho",0

"ko ho yo fatta",0

"नेपाली कांग्रेस सुतेको सुतैछ",0

"अनुहार हेरे पनि लोद्दर लाग्छ यो बिदेशी हरु को पाल्तु कुकुर को",0

"सबै पाटिका 60 काटेका सबै नेतालाई बरखास्त गनुँ पछँ",0
"सबै नेतालाई बरखास्त गनुँ पछँ",0

"तिमीहरू कै बाटोमा छन् डबल नेकपा मिलेर लुट् अनि खाउ देशको मुटु कलेजो,हजार पुस्ता सम्म देश र माटोको अासुको भार बोक्नेछ तिमीहरूको पुस्ताले",0
"तिमीहरू कै बाटोमा छन्",2
"डबल नेकपा मिलेर लुट् अनि खाउ देशको मुटु कलेजो",0
"माटोको अासुको भार बोक्नेछ तिमीहरूको पुस्ताले",2

"मुखमा घाँस हालेको छ अनि के बोल्ने त",0
"मुखमा घाँस हालेको छ",0
"अनि के बोल्ने त",0

"उ आफैले घाँस खाएर बहुलाएको बेला अरुलाई के प्रश्न गरेको",0
"अरुलाई के प्रश्न गरेको",0

"Gadha bacha gadha nai huncha tyaisaile tyo saale gadha nai ho",0
